id,action,coordinates,button,delta,distance,speed,user_id,timestamp,time_diff,session_id,x,y,delta_x,delta_y
85951.0,click,"745,285",left,"0,0",0.0,0.0,4.0,2025-04-14 02:25:33.598000+00:00,21.733,18,745,285,0,0
80300.0,click,"535,283",left,"0,0",0.0,0.0,19.0,2025-03-22 07:27:16.470000+00:00,,18,535,283,0,0
81481.0,click,"529,290",left,"0,0",0.0,0.0,19.0,2025-03-22 07:49:28.955000+00:00,1332.485,19,529,290,0,0
81512.0,click,"509,275",left,"0,0",0.0,0.0,19.0,2025-03-22 07:49:38.955000+00:00,10.0,19,509,275,0,0
81579.0,click,"519,300",left,"0,0",0.0,0.0,19.0,2025-03-22 07:49:47.033000+00:00,8.078,19,519,300,0,0
81860.0,click,"492,291",left,"0,0",0.0,0.0,19.0,2025-03-23 02:51:19.596000+00:00,68492.563,20,492,291,0,0
81933.0,click,"503,281",left,"0,0",0.0,0.0,19.0,2025-03-23 02:51:33.933000+00:00,14.337,20,503,281,0,0
81990.0,click,"498,281",left,"0,0",0.0,0.0,19.0,2025-03-23 02:51:47.725000+00:00,13.792,20,498,281,0,0
82048.0,click,"485,301",left,"0,0",0.0,0.0,19.0,2025-03-23 02:52:09.335000+00:00,21.61,20,485,301,0,0
82050.0,click,"485,301",left,"0,0",0.0,0.0,19.0,2025-03-23 02:52:09.561000+00:00,0.226,20,485,301,0,0
82064.0,click,"466,289",middle,"0,0",0.0,0.0,19.0,2025-03-23 02:52:10.854000+00:00,1.293,20,466,289,0,0
82118.0,click,"641,369",left,"0,0",0.0,0.0,19.0,2025-03-23 02:52:15.523000+00:00,4.669,20,641,369,0,0
82182.0,click,"549,301",left,"0,0",0.0,0.0,19.0,2025-03-23 02:52:26.357000+00:00,10.834,20,549,301,0,0
82275.0,click,"497,291",left,"0,0",0.0,0.0,19.0,2025-03-23 02:52:39.136000+00:00,12.779,20,497,291,0,0
82335.0,click,"524,297",left,"0,0",0.0,0.0,19.0,2025-03-23 02:52:45.463000+00:00,6.327,20,524,297,0,0
82459.0,click,"497,291",left,"0,0",0.0,0.0,19.0,2025-03-23 02:52:52.944000+00:00,7.481,20,497,291,0,0
82618.0,click,"512,400",left,"0,0",0.0,0.0,19.0,2025-03-23 02:53:00.109000+00:00,7.165,20,512,400,0,0
82660.0,click,"467,410",left,"0,0",0.0,0.0,19.0,2025-03-23 02:53:01.495000+00:00,1.386,20,467,410,0,0
82675.0,click,"475,412",right,"0,0",0.0,0.0,19.0,2025-03-23 02:53:02.492000+00:00,0.997,20,475,412,0,0
82691.0,click,"453,418",right,"0,0",0.0,0.0,19.0,2025-03-23 02:53:03.439000+00:00,0.947,20,453,418,0,0
82720.0,click,"468,401",right,"0,0",0.0,0.0,19.0,2025-03-23 02:53:04.219000+00:00,0.78,20,468,401,0,0
82734.0,click,"469,405",right,"0,0",0.0,0.0,19.0,2025-03-23 02:53:04.839000+00:00,0.62,20,469,405,0,0
82735.0,click,"469,405",right,"0,0",0.0,0.0,19.0,2025-03-23 02:53:05.033000+00:00,0.194,20,469,405,0,0
82737.0,click,"469,405",right,"0,0",0.0,0.0,19.0,2025-03-23 02:53:05.179000+00:00,0.146,20,469,405,0,0
82803.0,click,"457,423",left,"0,0",0.0,0.0,19.0,2025-03-23 02:53:06.297000+00:00,1.118,20,457,423,0,0
82826.0,click,"437,404",right,"0,0",0.0,0.0,19.0,2025-03-23 02:53:06.861000+00:00,0.564,20,437,404,0,0
82843.0,click,"444,417",right,"0,0",0.0,0.0,19.0,2025-03-23 02:53:07.363000+00:00,0.502,20,444,417,0,0
82844.0,click,"444,417",right,"0,0",0.0,0.0,19.0,2025-03-23 02:53:07.557000+00:00,0.194,20,444,417,0,0
82845.0,click,"444,417",right,"0,0",0.0,0.0,19.0,2025-03-23 02:53:07.636000+00:00,0.079,20,444,417,0,0
82850.0,click,"445,419",right,"0,0",0.0,0.0,19.0,2025-03-23 02:53:07.791000+00:00,0.155,20,445,419,0,0
82852.0,click,"445,420",left,"0,0",0.0,0.0,19.0,2025-03-23 02:53:08.143000+00:00,0.352,20,445,420,0,0
82854.0,click,"445,420",left,"0,0",0.0,0.0,19.0,2025-03-23 02:53:08.365000+00:00,0.222,20,445,420,0,0
82855.0,click,"445,420",left,"0,0",0.0,0.0,19.0,2025-03-23 02:53:08.507000+00:00,0.142,20,445,420,0,0
82951.0,click,"519,234",left,"0,0",0.0,0.0,19.0,2025-03-23 02:53:09.549000+00:00,1.042,20,519,234,0,0
82953.0,click,"519,233",left,"0,0",0.0,0.0,19.0,2025-03-23 02:53:09.689000+00:00,0.14,20,519,233,0,0
82955.0,click,"519,233",right,"0,0",0.0,0.0,19.0,2025-03-23 02:53:11.092000+00:00,1.403,20,519,233,0,0
82961.0,click,"520,235",right,"0,0",0.0,0.0,19.0,2025-03-23 02:53:11.973000+00:00,0.881,20,520,235,0,0
